,Unnamed: 0,roiName,roiLongName,group,groupLong
103,103,Accumbens_r,Accumbens_r,Thalamus,Thalamus
104,104,Accumbens_l,Accumbens_l,Thalamus,Thalamus
105,105,Brain_Stem,Brain_Stem,Cblm_pPaHC,Cerebellum_and_posterior_Parahippocampal_Cortex
106,106,Cereb1_l,Cerebelum_Crus1_Left,Cereb_Crus,Cerebellar_Crus
107,107,Cereb1_r,Cerebelum_Crus1_Right,Cereb_Crus,Cerebellar_Crus
108,108,Cereb2_l,Cerebelum_Crus2_Left,Cereb_Crus,Cerebellar_Crus
109,109,Cereb2_r,Cerebelum_Crus2_Right,Cereb_Crus,Cerebellar_Crus
110,110,Cereb3_l,Cerebelum_3_Left,Cblm_pPaHC,Cerebellum_and_posterior_Parahippocampal_Cortex
111,111,Cereb3_r,Cerebelum_3_Right,Cblm_pPaHC,Cerebellum_and_posterior_Parahippocampal_Cortex
112,112,Cereb45_l,Cerebelum_4_5_Left,Cerebellum,Cerebellum
113,113,Cereb45_r,Cerebelum_4_5_Right,Cerebellum,Cerebellum
114,114,Cereb6_l,Cerebelum_6_Left,Cerebellum,Cerebellum
115,115,Cereb6_r,Cerebelum_6_Right,Cerebellum,Cerebellum
116,116,Cereb7_l,Cerebelum_7b_Left,Cereb_Crus,Cerebellar_Crus
117,117,Cereb7_r,Cerebelum_7b_Right,Cereb_Crus,Cerebellar_Crus
118,118,Cereb8_l,Cerebelum_8_Left,Cerebellum,Cerebellum
119,119,Cereb8_r,Cerebelum_8_Right,Cerebellum,Cerebellum
120,120,Cereb9_l,Cerebelum_9_Left,Cblm_pPaHC,Cerebellum_and_posterior_Parahippocampal_Cortex
121,121,Cereb9_r,Cerebelum_9_Right,Cblm_pPaHC,Cerebellum_and_posterior_Parahippocampal_Cortex
122,122,Cereb10_l,Cerebelum_10_Left,Cerebellum,Cerebellum
123,123,Cereb10_r,Cerebelum_10_Right,Cerebellum,Cerebellum
124,124,Ver12,Vermis_1_2,Cblm_pPaHC,Cerebellum_and_posterior_Parahippocampal_Cortex
125,125,Ver3,Vermis_3,Cblm_pPaHC,Cerebellum_and_posterior_Parahippocampal_Cortex
126,126,Ver45,Vermis_4_5,Cerebellum,Cerebellum
127,127,Ver6,Vermis_6,Cerebellum,Cerebellum
128,128,Ver7,Vermis_7,Cerebellum,Cerebellum
129,129,Ver8,Vermis_8,Cerebellum,Cerebellum
130,130,Ver9,Vermis_9,Cerebellum,Cerebellum
131,131,Ver10,Vermis_10,Cblm_pPaHC,Cerebellum_and_posterior_Parahippocampal_Cortex
